name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,issues,closedIssues,stars
Stirling-PDF,Stirling-Tools,2023-01-27T18:22:42Z,2026-03-13T15:39:16Z,TypeScript,3198,170,0,0,75259
Ventoy,ventoy,2020-03-10T15:19:19Z,2026-03-13T15:44:19Z,C,294,108,0,0,75030
ragflow,infiniflow,2023-12-12T06:13:13Z,2026-03-13T15:41:16Z,Python,5553,40,0,0,74938
nest,nestjs,2017-02-04T20:12:52Z,2026-03-13T15:45:28Z,TypeScript,8113,143,0,0,74906
everything-claude-code,affaan-m,2026-01-18T00:51:51Z,2026-03-13T15:49:33Z,JavaScript,135,10,0,0,74478
union,unionlabs,2023-05-16T22:33:39Z,2026-03-13T11:50:30Z,Rust,3102,107,0,0,74242
lazygit,jesseduffield,2018-05-19T00:53:06Z,2026-03-13T15:50:10Z,Go,1823,177,0,0,74100
sherlock,sherlock-project,2018-12-24T14:30:48Z,2026-03-13T15:36:14Z,Python,735,2,0,0,73658
awesome-vue,vuejs,2015-10-20T00:16:14Z,2026-03-13T06:43:05Z,None,3619,0,0,0,73627
lobehub,lobehub,2023-05-21T07:19:12Z,2026-03-13T15:41:58Z,TypeScript,4437,1000,0,0,73583
awesome-public-datasets,awesomedata,2014-11-20T06:20:50Z,2026-03-13T14:14:43Z,None,188,1,0,0,73396
redis,redis,2009-03-21T22:32:25Z,2026-03-13T15:46:01Z,C,4436,117,0,0,73372
vllm,vllm-project,2023-02-09T11:23:20Z,2026-03-13T15:48:11Z,Python,14735,86,0,0,72993
tesseract,tesseract-ocr,2014-08-12T18:04:59Z,2026-03-13T15:44:28Z,C++,1432,35,0,0,72887
the-algorithm,twitter,2023-03-27T14:57:57Z,2026-03-13T15:22:46Z,Scala,2,0,0,0,72856
stable-diffusion,CompVis,2022-08-10T14:36:44Z,2026-03-13T14:50:33Z,Jupyter Notebook,5,0,0,0,72681
grafana,grafana,2013-12-11T15:59:56Z,2026-03-13T15:48:28Z,TypeScript,63025,597,0,0,72629
awesome-react,enaqx,2014-08-06T05:31:44Z,2026-03-13T15:34:40Z,None,794,0,0,0,72358
Front-End-Checklist,thedaviddias,2017-10-16T10:12:36Z,2026-03-13T14:09:25Z,None,179,1,0,0,72349
PaddleOCR,PaddlePaddle,2020-05-08T10:38:16Z,2026-03-13T15:30:55Z,Python,3127,29,0,0,72191
openai-cookbook,openai,2022-03-11T02:08:53Z,2026-03-13T13:38:39Z,Jupyter Notebook,1012,0,0,0,72086
awesome-machine-learning,josephmisiti,2014-07-15T19:11:19Z,2026-03-13T12:36:17Z,Python,901,0,0,0,71952
imgui,ocornut,2014-07-21T14:29:47Z,2026-03-13T15:32:55Z,C++,419,118,0,0,71927
cpython,python,2017-02-10T19:23:51Z,2026-03-13T15:42:52Z,Python,57442,0,0,0,71920
screenshot-to-code,abi,2023-11-14T17:53:32Z,2026-03-13T11:52:57Z,TypeScript,76,0,0,0,71906
cs-self-learning,PKUFlyingPig,2021-10-20T13:43:42Z,2026-03-13T15:50:08Z,HTML,315,5,0,0,71799
strapi,strapi,2015-09-30T15:34:48Z,2026-03-13T15:29:52Z,TypeScript,9606,516,0,0,71582
Prompt-Engineering-Guide,dair-ai,2022-12-16T16:04:50Z,2026-03-13T15:43:02Z,MDX,342,0,0,0,71532
moby,moby,2013-01-18T18:10:57Z,2026-03-13T14:53:14Z,Go,22368,276,0,0,71516
flask,pallets,2010-04-06T11:11:59Z,2026-03-13T15:46:01Z,Python,1628,38,0,0,71323
superset,apache,2015-07-21T18:55:34Z,2026-03-13T15:08:33Z,TypeScript,16532,244,0,0,70950
obs-studio,obsproject,2013-10-01T02:40:31Z,2026-03-13T13:33:24Z,C,5425,238,0,0,70900
protobuf,protocolbuffers,2014-08-26T15:52:15Z,2026-03-13T15:31:11Z,C++,8771,208,0,0,70834
caddy,caddyserver,2015-01-13T19:45:03Z,2026-03-13T15:45:27Z,Go,2266,134,0,0,70764
reveal.js,hakimel,2011-06-07T18:54:22Z,2026-03-13T15:50:01Z,JavaScript,414,50,0,0,70722
gpt_academic,binary-husky,2023-03-20T09:05:13Z,2026-03-13T14:31:08Z,Python,228,32,0,0,70219
awesome-cpp,fffaraz,2014-07-17T08:51:11Z,2026-03-13T15:40:38Z,None,840,0,0,0,70175
swift,swiftlang,2015-10-23T21:15:07Z,2026-03-13T15:46:05Z,C++,58186,66,0,0,69857
tabby,Eugeny,2016-12-23T09:06:10Z,2026-03-13T15:23:17Z,TypeScript,1512,204,0,0,69508
SecLists,danielmiessler,2012-02-19T01:30:18Z,2026-03-13T14:13:11Z,PHP,696,29,0,0,69429
awesome-scalability,binhnguyennus,2017-12-27T03:46:40Z,2026-03-13T15:24:13Z,None,37,0,0,0,69357
act,nektos,2019-01-02T19:53:43Z,2026-03-13T14:54:34Z,Go,1057,92,0,0,69321
OpenHands,OpenHands,2024-03-13T03:33:31Z,2026-03-13T15:30:30Z,Python,6490,100,0,0,69047
express,expressjs,2009-06-26T18:56:01Z,2026-03-13T15:46:21Z,JavaScript,522,164,0,0,68873
node,base,2023-02-01T13:55:02Z,2026-03-13T13:33:27Z,Go,249,72,0,0,68694
AppFlowy,AppFlowy-IO,2021-06-16T12:56:48Z,2026-03-13T15:31:46Z,Dart,3894,128,0,0,68571
LlamaFactory,hiyouga,2023-05-28T10:09:12Z,2026-03-13T15:48:11Z,Python,907,35,0,0,68366
ansible,ansible,2012-03-06T14:58:02Z,2026-03-13T15:46:32Z,Python,39688,207,0,0,68265
Chart.js,chartjs,2013-03-17T23:56:36Z,2026-03-13T11:27:57Z,JavaScript,3016,117,0,0,67257
awesome-courses,prakhar1989,2014-11-15T18:36:49Z,2026-03-13T12:27:45Z,None,194,0,0,0,66999
anime,juliangarnier,2016-03-13T21:37:45Z,2026-03-13T14:58:10Z,JavaScript,87,34,0,0,66837
33-js-concepts,leonardomso,2018-09-04T13:27:04Z,2026-03-13T08:22:32Z,JavaScript,262,0,0,0,66276
webpack,webpack,2012-03-10T10:08:14Z,2026-03-13T15:46:39Z,JavaScript,5577,448,0,0,66014
echarts,apache,2013-04-03T03:18:59Z,2026-03-13T13:54:27Z,TypeScript,1494,122,0,0,65924
annotated_deep_learning_paper_implementations,labmlai,2020-08-25T02:29:34Z,2026-03-13T15:23:50Z,Python,104,0,0,0,65920
AFFiNE,toeverything,2022-07-31T18:45:21Z,2026-03-13T15:46:23Z,TypeScript,9044,541,0,0,65847
ChinaTextbook,TapXWorld,2020-01-05T04:11:06Z,2026-03-13T14:57:47Z,Roff,1,0,0,0,65815
gpt4free,xtekky,2023-03-29T17:00:43Z,2026-03-13T15:20:35Z,Python,872,431,0,0,65751
ghidra,NationalSecurityAgency,2019-03-01T03:27:48Z,2026-03-13T14:23:41Z,Java,556,52,0,0,65689
scikit-learn,scikit-learn,2010-08-17T09:43:38Z,2026-03-13T15:46:02Z,Python,14187,49,0,0,65371
javascript-questions,lydiahallie,2019-06-12T08:26:27Z,2026-03-13T12:55:12Z,None,328,0,0,0,65302
awesome-nodejs,sindresorhus,2014-07-11T13:35:34Z,2026-03-13T15:34:51Z,None,421,0,0,0,65281
Java,TheAlgorithms,2016-07-16T10:21:02Z,2026-03-13T15:17:49Z,Java,2271,0,0,0,65199
MetaGPT,FoundationAgents,2023-06-30T09:04:55Z,2026-03-13T15:36:53Z,Python,673,22,0,0,65079
codex,openai,2025-04-13T05:37:54Z,2026-03-13T15:43:45Z,Rust,4551,611,0,0,65067
design-resources-for-developers,bradtraversy,2020-05-06T14:40:35Z,2026-03-13T14:11:20Z,None,967,0,0,0,65009
